,EW,GMV,GMV Long Only,GMV Linear Shrinkage,GMV Nonlinear Shrinkage,GMV Robust
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,0.0,0.5991016057623213,0.02250026556096669,0.3714167589404786,0.5061582475100452,0.07890295324464336
2020-07-31,0.0,0.43313963877476036,0.011618852479164003,0.2834552481361481,0.3647958321715726,0.1872131243403479
2020-08-31,0.0,0.3412691758937476,0.01275383868688348,0.23969676675596158,0.2851008138741703,0.21084076055719025
2020-09-30,0.0,0.367439350290138,0.013952195635783475,0.22101339622260505,0.3109130525164807,0.20626222791727045
2020-11-03,0.0,0.5187482219387803,0.02652201573250044,0.2811260502120912,0.4504263730149939,0.13194476873856606
2020-11-30,0.0,0.44188709362238066,0.017077888867903068,0.2794537574281374,0.3762823914624064,0.11204079275655274
2021-01-04,0.0,0.5036659015172483,0.008718019749259544,0.31020374739846157,0.427016248506329,0.2689545819182821
2021-02-01,0.0,0.6208398715265595,0.013548121162165801,0.32200731251675485,0.535323502031815,0.23256583356224467
2021-03-01,0.0,0.43948086839506145,0.014859429136401972,0.2760920351215088,0.3787195406968423,0.11172768038696326
2021-03-31,0.0,0.6972393495932283,0.02271341035651,0.4520994617688683,0.6215473162774452,0.16657594354158917
2021-04-30,0.0,0.4012982115875926,0.010557133705618876,0.21257864637123478,0.3465653111735587,0.13811460415904236
2021-05-31,0.0,0.3135264934123295,0.011587919775760994,0.20963149059333838,0.2658580138426225,0.21138851990965724
2021-06-30,0.0,0.586145034060739,0.01154480438883051,0.35112927648748604,0.4904368207210875,0.21587634967853292
2021-08-02,0.0,0.21019763471210962,0.007404494632163531,0.1218034448234003,0.18082774153683245,0.12164218137096758
2021-08-31,0.0,0.36021675565944417,0.010620185787273893,0.18814667667071705,0.30780679965999824,0.2550534593903591
2021-09-30,0.0,0.3577818753210767,0.014663368859514468,0.20836712258388607,0.3091061972372632,0.22278557336260954
2021-11-01,0.0,0.471156069368288,0.0186363609959629,0.2169953736339442,0.4035437695131007,0.30131471662340154
2021-11-30,0.0,0.2849186720526777,0.01427122070219916,0.14718264321095925,0.2434588060568014,0.24044366505805373
2022-01-03,0.0,0.22727575224515065,0.009394358819746417,0.13221207633472415,0.18791538878578906,0.1499444580823341
