portfolio,ann_return,ann_volatility,sharpe,max_drawdown,calmar,turnover,turnover_pvalue_vs_robust,target_turnover,target_turnover_pvalue_vs_robust,sharpe_pvalue_vs_robust,variance_pvalue_vs_robust,min_weight,max_weight,weight_sd,mad_ew,max_minus_min,effective_n
EW,0.10381626521909704,0.19896686722660512,0.5959789874340238,-0.22344168671319187,0.46462352995193257,0.06350056554715583,4.9709384277000496e-23,0.0,3.451648717878635e-27,0.05238604263497232,6.171438294228357e-55,0.01851851851851852,0.01851851851851852,3.502024633359189e-18,0.0,0.0,54.00000000000005
GMV,0.13045323003580878,0.15016973146388082,0.8924530445341015,-0.29215547068046954,0.4465198948079445,0.49507549234355724,1.3504878539613434e-10,0.45059129072923465,7.328238806022483e-10,0.9196204967202286,0.7803978369176917,-0.141643611110094,0.34581324718840833,0.07481356475373627,0.04994370030312034,0.48745685829850244,3.345283883288164
GMV Long Only,0.11549946865578309,0.17473607334957805,0.7129778976827675,-0.183596150597221,0.6290952630546675,0.06426727883389739,1.5575263768203617e-23,0.019262240554360353,3.5014129825792645e-26,0.10587461051525912,1.449508901761435e-22,0.00168458293241156,0.03297370223586202,0.007450231377399756,0.006022028390531028,0.03128911930345044,46.29675778393221
GMV Linear Shrinkage,0.14488963439032854,0.1443336889402377,1.0099766132603532,-0.2543832696941454,0.5695721835973522,0.33513773046827516,0.012795975396960157,0.2916856321439595,0.19329523467863577,0.8246283528021743,0.3469502564348419,-0.0767348419298345,0.2600857930540409,0.05538233151868297,0.038994616126549614,0.3368206349838754,5.849447300982495
GMV Nonlinear Shrinkage,0.13683384188649828,0.14535530149642373,0.9555244398256877,-0.27333952633201064,0.5006002744011989,0.42548950834803817,4.1709823154191975e-07,0.38265412821086114,6.1122351792843595e-06,0.9490984947757002,0.4201785064214425,-0.12038203861698725,0.2973201921087285,0.06548283662823148,0.0449951472704216,0.4177022307257158,4.296847165765046
GMV Robust,0.1402583337864185,0.15348688117091241,0.9320808131363298,-0.17017135080299584,0.8242182548623765,0.2798783424401877,,0.26567678826818997,,,,-0.021684462307709318,0.053536178064756815,0.017461150688267247,0.01393563891236211,0.07522064037246615,29.498446467725888
Index,0.1199558128753897,0.18405872423093045,0.7076873266631772,-0.2649951061356819,0.45267180448974154,0.0,,0.0,,0.17301644964721064,1.170062444231903e-38,,,,,,
