portfolio,ann_return,ann_volatility,sharpe,max_drawdown,calmar,turnover,turnover_pvalue_vs_robust,target_turnover,target_turnover_pvalue_vs_robust,sharpe_pvalue_vs_robust,variance_pvalue_vs_robust,min_weight,max_weight,weight_sd,mad_ew,max_minus_min,effective_n
EW,0.10326553241874614,0.24531506305430512,0.5248614617379181,-0.4696531135026921,0.21987617977998183,0.06452334264210254,8.002123922712477e-31,0.0,4.4119606410802166e-35,0.024895980004911136,4.2919880921491714e-10,0.018518518518518524,0.018518518518518524,3.5020246333591885e-18,0.0,0.0,54.00000000000004
GMV,0.12222385444518036,0.16536191751785784,0.7806554726048615,-0.2805348749222045,0.43568149763580877,0.9883675853443659,3.746732072382911e-23,0.9555507265101346,2.594846950822942e-22,0.8198792750567387,0.055147788720828,-0.16743799841988885,0.32708731554926723,0.0812391853590188,0.05544728350511632,0.4945253139691561,2.9742786362872327
GMV Long Only,0.1038181815036574,0.22138043436628627,0.5585086554027386,-0.45242319420622223,0.2294713949973469,0.07597994714031629,4.076530464230902e-29,0.04163411395934598,9.338860336837708e-31,0.01605399253197857,7.825251930470451e-05,0.0029598132516748467,0.03302608902457156,0.007090746283200973,0.005732885709230242,0.0300662757728967,46.823166807250644
GMV Linear Shrinkage,0.13077116029721703,0.15745237090458578,0.8596511255439998,-0.2674903460530694,0.48888179415369387,0.5276112304688544,9.201780386095956e-06,0.5031301057399653,3.991395774033814e-05,0.9783749303754227,0.011874277254430007,-0.0846329347472777,0.20475354838701065,0.050325733869155086,0.036459758919429874,0.2893864831342883,7.528405402118841
GMV Nonlinear Shrinkage,0.12843783736878334,0.16014555872936762,0.8351850655074062,-0.2804084946652948,0.4580383255581866,0.7327968660855178,3.627222583944122e-14,0.7047155120570822,2.641801904499864e-13,0.9458853147369166,0.010543894944751605,-0.12241754120331322,0.2501576695903634,0.06273368762657898,0.04410687943229886,0.37257521079367667,4.859794565307424
GMV Robust,0.1614826826328688,0.1991240677271707,0.8528177775254774,-0.39831783988237546,0.40541162474810355,0.3807829309046641,,0.3685837409426031,,,,-0.026590963221899057,0.057934567170148485,0.018839111391178366,0.01497552641435662,0.08452553039204752,27.516650297321693
Index,0.08524679971980742,0.23413806591237832,0.4678733418098853,-0.46815808848135965,0.18208977227401174,0.0,,0.0,,0.009616296790621308,4.430266068095069e-06,,,,,,
