portfolio,ann_return,ann_volatility,sharpe,max_drawdown,calmar,turnover,turnover_pvalue_vs_robust,target_turnover,target_turnover_pvalue_vs_robust,sharpe_pvalue_vs_robust,variance_pvalue_vs_robust,min_weight,max_weight,weight_sd,mad_ew,max_minus_min,effective_n
EW,0.09889036308522825,0.2453606655797693,0.5086098275933317,-0.4699830286075084,0.21041262570315797,0.06452334264210254,1.4290846246408756e-30,0.0,3.419954360957124e-35,0.15749532752027584,1.4123772646643833e-11,0.018518518518518524,0.018518518518518524,3.5020246333591885e-18,0.0,0.0,54.00000000000004
GMV,0.05603952337558438,0.16589748889498937,0.4121622184409299,-0.30193807125394245,0.18559939507745218,0.9883675853443659,1.335276463410868e-23,0.9555507265101346,6.971666781797872e-23,0.34025675036341396,0.06957146371922078,-0.16743799841988885,0.32708731554926723,0.0812391853590188,0.05544728350511632,0.4945253139691561,2.9742786362872327
GMV Long Only,0.09866387016973022,0.22144651803016496,0.537265386598376,-0.4527668124494303,0.21791321151823606,0.07597994714031629,1.8481517625183284e-28,0.04163411395934598,2.0761501779473218e-30,0.14138566008783762,8.828459368672364e-06,0.0029598132516748467,0.03302608902457156,0.007090746283200973,0.005732885709230242,0.0300662757728967,46.823166807250644
GMV Linear Shrinkage,0.09471195385297304,0.1575106346781939,0.6535666872312954,-0.28388631846416257,0.33362634157703996,0.5276112304688544,2.3739872910910148e-06,0.5031301057399653,1.0333661884148949e-05,0.81278269520322,0.016018194366805943,-0.0846329347472777,0.20475354838701065,0.050325733869155086,0.036459758919429874,0.2893864831342883,7.528405402118841
GMV Nonlinear Shrinkage,0.07873190554076515,0.16044416582935087,0.5530678779652235,-0.29905157672212257,0.2632719961009351,0.7327968660855178,1.020768631345418e-14,0.7047155120570822,6.235278487800521e-14,0.5376573299549599,0.015369847950436152,-0.12241754120331322,0.2501576695903634,0.06273368762657898,0.04410687943229886,0.37257521079367667,4.859794565307424
GMV Robust,0.12965227542327118,0.19915916326528235,0.7131687931319393,-0.4085196652255766,0.3173709528810069,0.36993267226911614,,0.35846558670450873,,,,-0.027749647838434054,0.05814714800895644,0.01911755688758605,0.015201327416510972,0.08589679584739052,27.038689823301457
Index,0.08524679971980742,0.23413806591237832,0.4678733418098853,-0.46815808848135965,0.18208977227401174,0.0,,0.0,,0.08984741061602096,7.134311043671645e-07,,,,,,
