portfolio,ann_return,ann_volatility,sharpe,max_drawdown,calmar,turnover,turnover_pvalue_vs_robust,target_turnover,target_turnover_pvalue_vs_robust,sharpe_pvalue_vs_robust,variance_pvalue_vs_robust,min_weight,max_weight,weight_sd,mad_ew,max_minus_min,effective_n
EW,0.10814429836593908,0.19892163267760177,0.6157480537262512,-0.21865141337394667,0.49459684114177777,0.06350056554715583,1.070341453958074e-25,0.0,5.9381255466595364e-30,0.016370531180496695,2.9996177304426074e-52,0.01851851851851852,0.01851851851851852,3.502024633359189e-18,0.0,0.0,54.00000000000005
GMV,0.16543394398269728,0.1499222407698934,1.097025600591544,-0.28448618690089,0.5815183710143774,0.49507549234355724,1.9191534066982383e-09,0.45059129072923465,2.0115804817667546e-08,0.8516816431742488,0.7028024088258673,-0.141643611110094,0.34581324718840833,0.07481356475373627,0.04994370030312034,0.48745685829850244,3.345283883288164
GMV Long Only,0.11992429053557863,0.17469287070289635,0.7357807431592139,-0.18217009133420758,0.6583094384882676,0.06426727883389739,2.063736765568748e-26,0.019262240554360353,1.7294226116246218e-29,0.03155270357327467,1.403484437792659e-19,0.00168458293241156,0.03297370223586202,0.007450231377399756,0.006022028390531028,0.03128911930345044,46.29675778393221
GMV Linear Shrinkage,0.1687414739392994,0.1442309984375324,1.1536074003794947,-0.24900442052731697,0.6776645715042141,0.33513773046827516,0.11160876679425705,0.2916856321439595,0.8964045416964531,0.7110050095505555,0.29485014701381995,-0.0767348419298345,0.2600857930540409,0.05538233151868297,0.038994616126549614,0.3368206349838754,5.849447300982495
GMV Nonlinear Shrinkage,0.16699608500070284,0.1451707700996317,1.1370045890340217,-0.26657361281921865,0.6264539210561475,0.42548950834803817,6.9081917022024e-06,0.38265412821086114,0.00015790842613028252,0.757942195433928,0.3583383405067557,-0.12038203861698725,0.2973201921087285,0.06548283662823148,0.0449951472704216,0.4177022307257158,4.296847165765046
GMV Robust,0.1571429356474161,0.1544727542400407,1.022317296638844,-0.1657018795846411,0.948347333423861,0.30058118032559644,,0.2891376952600399,,,,-0.021001588451291256,0.05335924449582587,0.017215859618432777,0.013732104646778485,0.07436083294711711,29.910644941827503
Index,0.1199558128753897,0.18405872423093045,0.7076873266631772,-0.2649951061356819,0.45267180448974154,0.0,,0.0,,0.05037245182822434,3.940268832511113e-37,,,,,,
