,EW,GMV,GMV Long Only,GMV Linear Shrinkage,GMV Nonlinear Shrinkage,GMV Robust
2019-05-31,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.045383675757137545,0.6279325725637985,0.06035440800623452,0.46453501585700946,0.4671740698540548,0.2741113502267977
2019-07-31,0.06261345689337158,0.6686845938007343,0.06872588038228075,0.44497807753384344,0.4643278519735325,0.5569067405317331
2019-09-02,0.06533870029979003,0.6667310994258173,0.07300930023436769,0.5273795334274171,0.4848453808872978,0.5563992258137356
2019-09-30,0.0459476192852688,0.551534930971951,0.05453889846358936,0.38541755729799754,0.3932824443673555,0.15638508627723557
2019-10-31,0.05656161633463132,0.8489153741824385,0.07765760769645352,0.5399125041651471,0.5748598152578782,0.6457201127306423
2019-12-02,0.06901867764894899,0.6940569219115407,0.07917284074147138,0.4997207579100633,0.47098351746241035,0.35146220258087973
2020-01-02,0.04948173687415071,0.7873299278987204,0.05631463602297993,0.44746424183394834,0.5566385821288715,0.5870929010124487
2020-01-31,0.06975693307027266,1.033505446844751,0.07271722515943868,0.6508391926700756,0.6952567200921544,0.7063376297024577
2020-03-02,0.055469106209623635,1.2086588183281624,0.05351302594275105,0.865529643933657,0.8265946945161821,0.5575903577191407
2020-03-31,0.16411652924626696,2.8362658292192298,0.42625342916942066,1.6701800017405872,2.4552597172985875,0.6809735803261746
2020-04-30,0.08711617582719781,1.7014748783581533,0.1281125362272006,0.8344588598039628,1.3307618318557057,0.11496559011757367
2020-06-01,0.07916138928462689,1.2850232157622785,0.07952908997246383,0.7244792615091307,0.9987894530230474,0.16833388501615484
2020-06-30,0.07615354028598377,1.2579298242263757,0.08860154400960324,0.6405633932654008,0.990090360335744,0.16516352825954725
2020-07-31,0.06379773131760111,0.9095240673486245,0.05374703071220237,0.46846156954173745,0.677710751624763,0.22374759570747463
2020-08-31,0.0777486458259984,0.554879834340724,0.0754246886796361,0.3330072991342406,0.43721201944038945,0.22651925317339341
2020-09-30,0.058827739858946994,0.6245097001973869,0.05388525171951303,0.33289439471160687,0.5082925656585392,0.16911643527944376
2020-11-03,0.06678250509847196,0.6953653628189238,0.05596939375374,0.43069576728984116,0.5593292038523051,0.11741447912203118
2020-11-30,0.08042608061964601,1.0253562347948766,0.09060447156899988,0.5042970377747256,0.8396284864903373,0.15244602434539115
2021-01-04,0.05513567364100225,0.9491777854858919,0.04626776398919703,0.4535913730361861,0.7317135081541105,0.1934223638026576
2021-02-01,0.053059959058795333,0.8404011944273712,0.06321378345933092,0.43053296245226336,0.6569057272354961,0.21696425232225988
2021-03-01,0.09470698763952651,0.921011001447253,0.0747553576925329,0.42613246016738054,0.7886187014277789,0.16087857224675328
2021-03-31,0.10178961670409177,2.492313134774485,0.42132683280190053,1.5744455918754439,2.162961605593762,0.2907863723347691
2021-04-30,0.0755500772125181,1.4770792251245846,0.2286464587825486,0.6322028026243657,1.146219032651607,0.2388628564429819
2021-05-31,0.06204077169763168,1.0450105859413414,0.10943784928787853,0.506340584031952,0.7894664143666253,0.5199201659250854
2021-06-30,0.066436582647208,1.3436292877434692,0.10986682295389019,0.7471689773519826,0.95806160343935,0.7120162770454022
2021-08-02,0.04745424682664592,0.963252823758962,0.05540932456048121,0.19643085737673172,0.7146692085327464,0.308253878474547
2021-08-31,0.07199177335798289,1.1894458733574569,0.07060924702906093,0.1985318535758909,0.8557811620787745,0.6964424345175384
2021-09-30,0.06748404974852967,1.4295382217559816,0.06505798677154,0.29502706751384183,1.0102661004025568,0.5652786759835431
2021-11-01,0.06892625618806641,0.7512646957891416,0.05613333995873038,0.23642164624792023,0.534658883643532,0.5814220481453212
2021-11-30,0.059689516062320286,1.2940630051305981,0.06568003251459315,0.33154414532746207,0.9082777616581059,0.5093679794039725
2022-01-03,0.06654437889376802,0.9546036971457074,0.07771078549375793,0.22088726585390148,0.6379933193737224,0.3085284295687717
2022-01-31,0.06892725394263745,1.203218100172864,0.07462917125939164,0.25287809884551404,0.8327177237045981,0.4831869569531155
2022-03-02,0.06470424453086888,0.7834518784500025,0.07502975459338243,0.22211320484259914,0.542497008065268,0.4425061239058764
2022-03-31,0.05265176648242437,1.330306781319533,0.07087786457845403,0.48239823025735823,0.9054277011698293,0.49618486305765536
2022-05-02,0.08102814749488356,0.8998962636931345,0.0730967354112063,0.31017743043961526,0.6035394650765185,0.23169941658056012
2022-05-31,0.06099157363819823,0.8407579299989109,0.06033969191377467,0.3340020954288741,0.5682367596402513,0.4883514047199623
