Date,EW,GMV,GMV Long Only,GMV Linear Shrinkage,GMV Nonlinear Shrinkage,GMV Robust,Index
2019-05-31,0.002627039812066337,0.004000211527876062,0.0025889044287543813,0.004026750600736209,0.0033848165760707364,0.0030210207751149437,-0.004381419497829775
2019-06-03,-0.003889872792516961,-0.005565049093224533,-0.00440590767594257,-0.004947912616833945,-0.005358298437783744,-0.003103058965058136,-0.00010306090899725451
2019-06-04,0.0036051763968302027,-0.004460360740178334,0.0013457860757637267,-0.0049232900734104395,-0.0054110856548888996,-0.0022913413227434983,0.0037105751391466324
2019-06-05,-0.010686274048091667,-0.00034613140162402365,-0.009234480019455477,-0.0019214525114291832,-0.0015029157509353405,-0.00499086107258425,-0.014181556787841498
2019-06-06,0.006476017878926101,-0.00574638968484772,0.004193439819886644,-0.005311490898957436,-0.004092621732579633,0.001186087773669408,0.012562630860738055
2019-06-07,0.008851075170892075,-0.0014080670859910383,0.006598415981309384,-0.0014171636894203894,-0.0017642648913779885,0.000743897044021403,0.006337122575999166
2019-06-10,0.0004650015860531649,0.0019755733809632735,0.0011195866857168805,0.001366057825848657,0.002397935767830226,0.0009227578340337871,-0.0036188548471187687
2019-06-11,0.010726805036620978,-0.002905063225213267,0.008511437561354394,-0.0023611884329641664,-0.002159610399932776,0.0006962065894650718,0.015318005068382101
2019-06-12,-0.008067298725301292,-5.423256620099969e-05,-0.006796649676667219,0.0003051854587564689,-0.0007500094484292742,-0.0024161000825339875,-0.006457154405820509
2019-06-13,0.011822906499392275,0.015345102250316352,0.013115101088519309,0.016177409742807097,0.01605170469216838,0.016363039106455153,0.004607357532978806
2019-06-14,-0.007475842165147561,0.003006264780153737,-0.006573608936767705,0.0018568404293299767,0.0010529289493324346,-0.0038361409006174895,-0.007431105351610734
2019-06-17,-0.002998747579914665,-0.0015097451886304709,-0.0018636143957530761,-0.0003189549182244304,-0.00024400608512827613,0.0009826318629429474,-0.004253365973072243
2019-06-18,0.014184225355306281,0.005787734157078005,0.01302828616566857,0.005620342329985294,0.006920278913842381,0.009414586198697391,0.01824365159849628
2019-06-19,0.007458114628961264,0.004126549631758648,0.006966038453515616,0.005161803922971033,0.00469102450397775,0.007222991348057883,0.009043901653857045
2019-06-21,0.010705539607458417,0.008267977955421902,0.009380787225258534,0.006580556605709185,0.007294855818795634,0.007894017999852506,0.017048343519137088
2019-06-24,0.001980310674604964,0.00010046558992869804,0.0022330640294302494,0.0009239963762768873,0.0010876271158393256,0.002136257011177867,0.0004803309382137577
2019-06-25,-0.019567228980693827,-0.011375233005248222,-0.018393660082169055,-0.01179366906141575,-0.012511012208259571,-0.01620729260299894,-0.01929219494033041
2019-06-26,0.005841863331192263,0.004273440836262038,0.004969073157744651,0.003581953096831325,0.0033481996917172374,0.002868943376469753,0.005954462350014511
2019-06-27,0.004507284466226396,0.0026073772747217776,0.004791415989984949,0.004060186482717063,0.003600569394022122,0.007013573000891024,0.0003476050015394083
