Date,Index
2018-01-03,0.0013351991886096926
2018-01-04,0.008359510225014466
2018-01-05,0.005391178303050248
2018-01-08,0.003895233397832376
2018-01-09,-0.006487862029000091
2018-01-10,-0.008406877662811896
2018-01-11,0.01488472014424369
2018-01-12,-0.00020160020160020498
2018-01-15,0.005078828970749516
2018-01-16,0.0010031096398837036
2018-01-17,0.016998196212045347
2018-01-18,-0.0027836283240340043
2018-01-19,0.0031742894902608843
2018-01-22,0.005602068456045384
2018-01-23,-0.01220691766146309
2018-01-24,0.03720964823124029
2018-01-26,0.022119980879541146
2018-01-29,-0.00973915890145094
2018-01-30,-0.0025502373137500367
2018-01-31,0.005101678464051407
2018-02-01,0.00685407417003292
2018-02-02,-0.017006842505409625
2018-02-05,-0.025939719898620872
2018-02-06,0.024834780909102072
2018-02-07,-0.013433618613965193
2018-02-08,-0.014909323764302207
2018-02-09,-0.007775992542896737
2018-02-14,0.03268272784583237
2018-02-15,0.008953473061776629
2018-02-16,0.0027760970922161565
2018-02-19,0.0031706595681750827
2018-02-20,0.011923154033941508
2018-02-21,0.002890308144142484
2018-02-22,0.007367638172267821
2018-02-23,0.00700228410585324
2018-02-26,0.004124042019405971
2018-02-27,-0.008191391053358088
2018-02-28,-0.016725139472019368
2018-03-01,-0.0012049461283794027
2018-03-02,0.004485933144369847
2018-03-05,0.0030550016907451294
2018-03-06,-0.004301175267079738
2018-03-07,-0.0019730774170197973
2018-03-08,-0.005837349679472137
2018-03-09,0.016308760369476927
2018-03-12,0.0061247409431406385
2018-03-13,-0.00593785960874571
2018-03-14,-0.0038548805334320813
2018-03-15,-0.013050400343982083
2018-03-16,-0.0004945365486058728
2018-03-19,-0.011462431967580011
2018-03-20,0.002991193259685554
2018-03-21,0.009659711990875008
2018-03-22,-0.0024594890382103607
2018-03-23,-0.004612589656474153
2018-03-26,0.008426466928191267
2018-03-27,-0.015043249341857856
2018-03-28,0.0007875143184421507
2018-03-29,0.01778858764336988
2018-04-02,-0.008199985942881294
2018-04-03,-0.0005078780147874662
2018-04-04,-0.0031079021069921886
2018-04-05,0.01007586533902316
2018-04-06,-0.0045769275906584195
2018-04-09,-0.017837774109879745
2018-04-10,0.014440563217976932
2018-04-11,0.008709028517335238
2018-04-12,0.002322689627665797
2018-04-13,-0.012990964842469976
2018-04-16,-0.01745440747503968
2018-04-17,0.014771547874779856
2018-04-18,0.020098470613419517
2018-04-19,0.0005595970900951208
2018-04-20,-0.0031925801640566576
2018-04-23,0.0006078316773816539
2018-04-24,-0.0015537020163080006
2018-04-25,-0.004972563151552034
2018-04-26,0.01574479093175296
2018-04-27,0.0007177338133661504
2018-04-30,-0.0038174561860142564
2018-05-02,-0.018208209951808607
2018-05-03,-0.014891125646090297
2018-05-04,-0.00204111036403809
2018-05-07,-0.004860559686229227
2018-05-08,0.0029257441303769394
2018-05-09,0.01577944934664166
2018-05-10,0.018940248027057516
2018-05-11,-0.0074655547920475795
2018-05-14,0.0001408120159587245
2018-05-15,-0.0011967336211751167
2018-05-16,0.016527663573358442
2018-05-17,-0.03368501334689211
2018-05-18,-0.006457630767022993
2018-05-21,-0.01524999398184923
2018-05-22,0.0112937725355986
2018-05-23,-0.022625364096737988
2018-05-24,-0.009212657820866332
2018-05-25,-0.015276703027882532
2018-05-28,-0.04489340667697539
2018-05-29,0.009501565900525533
2018-05-30,0.008965190871805584
2018-06-01,0.006331917554785349
2018-06-04,0.017555670636975718
2018-06-05,-0.0248613160975113
2018-06-06,-0.006850030009655228
2018-06-07,-0.02976995940460081
2018-06-08,-0.012308567250274183
2018-06-11,-0.008691837350223497
2018-06-12,0.006168058859324033
2018-06-13,-0.008686807598207613
2018-06-14,-0.009719641718199723
2018-06-15,-0.009282983996303562
2018-06-18,-0.013327114955199448
2018-06-19,0.022616916135500986
2018-06-20,0.010210942095974396
2018-06-21,-0.02839593472262658
2018-06-22,0.008077060292543736
2018-06-25,0.004416698517857975
2018-06-26,0.006370414217862441
2018-06-27,-0.011147678733982258
2018-06-28,0.016400175615006507
2018-06-29,0.0138782448757786
2018-07-02,0.0010582301444415076
2018-07-03,0.011367380560131757
2018-07-04,0.014592496063419613
2018-07-05,-0.002542044071016658
2018-07-06,0.006129867342695716
2018-07-10,-0.001973070257298981
