Date,ABEV3,ALOS3,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRKM5,CMIG4,COGN3,CPFE3,CSAN3,CSNA3,CYRE3,ENGI11,EQTL3,FLRY3,GGBR4,GOAU4,HAPV3,HYPE3,IRBR3,ITSA4,ITUB4,KLBN11,LREN3,MGLU3,MRVE3,MULT3,PCAR3,PETR3,PETR4,PRIO3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SLCE3,SMTO3,SUZB3,TAEE11,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VBBR3,VIVT3,WEGE3,YDUQ3
2018-04-27,-0.005576936910597574,-0.0013168963792875577,0.006232814965581479,0.0,0.002465380159343722,0.010942122832537926,0.005381768155568345,0.006135003728804822,0.001330478839996374,-0.007350789380104694,0.011881187899847045,0.014405522623376132,0.0364964213010166,0.009880520023652473,-0.0004961175730437972,-0.03470736445806699,0.01851873913284363,0.0006006095364579078,0.010230214145660943,-0.02317024826642733,-0.019976351968195027,-0.012406738681432383,0.005746961345301171,0.005082317158927374,-0.008704635479617306,0.0014630084587465841,-0.0019388999296217069,0.02168652624758094,0.01797331678409697,0.00765548299755503,0.022494897195792785,-0.0014905272027838645,0.0,0.002863038192403522,0.0035350526975419516,-0.01522421174368993,-0.007284850333907467,0.01699710830444734,-0.047780504115593425,0.0052606647721795685,0.0033730431274181516,0.01690931280829089,-0.005847812309029088,0.011109199111397183,0.018164154718496084,0.002514635321074099,0.0012491467943440693,0.0068222347787398885,-0.026339721281969042,-0.00718687087013814,0.026696795250540806,0.007534159140791363,0.0005579424267869726,-0.0511078941656834
2018-04-30,0.006471042489003764,-0.015384720158660214,-0.020518530384913358,-0.01740311615541379,-0.019366657882287974,-0.015380924236073179,-0.019272028332620095,0.0,-0.008857548810954241,0.04612507839282243,-0.00739304088350623,0.0011835908209403279,-0.013380194926374211,-0.002669304916696258,-0.012903070972520525,-0.013483061993562306,0.010908923254843605,-0.005702235268921219,0.016335285767381746,-0.01694287162629904,-0.0017984305557926517,-0.01758787409574325,-0.012500009303509474,-0.004424499318307573,-0.011081119235259451,-0.005843303506571251,-0.009514254173799253,0.0014147708876481868,-0.007306029106442402,0.01339037379302277,0.0,-0.007164104772184987,0.0,0.004486095627378228,0.011448714503284219,0.011699195890751302,-0.01035989021608874,0.034122722342137424,-0.007473196555109474,-0.0028784291647124816,0.014126937776441695,0.032794592814316736,-0.0011765771405018999,0.02012414492491854,-0.0004692178213396847,0.0,-0.0018713825599899758,-0.02468515418266637,0.01679115803596476,0.0066182882057281844,0.01189948212166958,-0.0006800734123852958,-0.008365837471990156,-0.00684919606319212
2018-05-02,-0.02828982467387431,-0.00892881136764856,-0.02727278980986425,-0.018528609270109797,-0.015987460568071876,-0.02574443393438297,0.0,-0.02439037984393,-0.025915865487936895,-0.003936919058579735,0.04325544271048343,-0.0288593907840341,-0.029264859819020717,-0.007854352779893325,-0.0015082108130499705,0.014806329693302533,-0.032373945553762495,-0.0012074702767465029,-0.002108307879340132,-0.012639182616275169,-0.024624695635993676,-0.011509254324397089,-0.012296648833448276,-0.015873110640118426,0.004017095473473731,-0.059515634149069685,-0.04500454510094076,-0.006123133671054548,-0.014412436941708573,-0.03945284863279652,-0.008000050959072968,-0.03337365746480525,0.0,-0.0024360583537315073,-0.016107704470733397,-0.07778086525606442,-0.0404187465559358,-0.00404049180744237,-0.03262838733097573,-0.03175026959617855,-0.018771192752837562,-0.053445868335721514,-0.010600616191899226,0.03385290390866502,-0.0028184913899093056,-0.029467409035467074,-0.026562501399674088,-0.005459145618356143,-0.006422209194155815,0.0008218374811905793,0.006097631133928028,0.005442680077068385,0.012935602465774299,-0.027899869706899616
2018-05-03,-0.003087542117171105,0.004504798261143694,-0.018285379372356858,-0.028317876040446666,-0.011881101711911923,-0.02052852664773963,-0.0014554391390290133,-0.03374989944450146,-0.02247682771015047,0.007905136241821431,-0.025863984846166255,-0.010349306454684792,-0.025735307061968915,-0.025416908597687304,-0.029042493796597624,-0.03703693817229203,-0.011152477207982292,-0.011785995131882943,-0.020422437574796226,-0.007757696911459444,0.015393866182975557,-0.006467932077348082,0.006590959688676401,-0.011935660759797573,0.014739808025643564,-0.02734327177663365,-0.01971233900702596,-0.0021761675252697232,0.0034226157975867366,-0.05170717321712559,-0.03158615102526785,-0.01710712528238334,0.0,-0.010581984669590039,-0.006637214933872371,-0.0326914614107755,-0.009393644775552046,-0.005409132569009878,-0.014825781544657857,-0.020054245837821227,-0.014492932494540756,0.04837487386583028,-0.0184525338521081,-0.0383980528331519,-0.010473585790371387,-0.0051678451156207394,-0.0003211620319198971,-0.1016299894095336,-0.022160704186675484,0.007801492136562782,-0.031601915658855284,-0.03856609770307817,-0.022765356306955087,-0.00032238250801441826
2018-05-04,-0.004424920741367799,0.004484254368420704,-0.004966896261679121,-0.0019999753475754556,-0.003548531849033698,0.0009094917911292022,-0.013848631984830884,0.0012935564589056092,-0.005161844797768378,0.014285629017616541,0.027490562025440424,0.03137239562127814,0.002264038785700917,-0.016673540023560474,-0.01867171808592638,0.013985924816298567,-0.000751954288692902,-0.0152905702759919,-0.012077644817728439,0.0394838839774827,0.02122509716844445,0.015624852718359339,-0.026918884108296015,-0.0042440405162263994,0.04378492221478103,-0.01606440951533017,-0.011730374799619914,0.0028692740562550334,0.054263459162143146,0.0051440010494634425,-0.02845239271721056,-0.009493513599941439,0.02028054552751013,-0.017276874198747016,-0.00801790715803774,0.09413580104737318,-0.036402917925223766,-0.02175385792056872,-0.0018810195042786582,0.004148177454205149,-0.004411644801551762,-0.023899582653229112,-0.023650677454846947,-0.023763097190785065,-0.017031474760251353,0.006493594742279285,0.00032126521010744646,-0.00018518119980415193,0.036827219456986304,0.01242601213155492,-0.022351134936810624,-0.0018762575588335828,-0.022726590317813322,0.006451677763537056
2018-05-07,-0.0071110647294940765,-0.0022322878836102955,-0.0024956413721048953,-0.0011450247146534975,-0.01262591025535953,-0.009090756506252129,-0.026237620424273578,0.027131746450227867,0.0,-0.05026234945444075,-0.005259453362665756,-0.0025347580217880417,-0.0030119872678481263,0.007391188968398188,-0.006795256473515532,-0.02643684319781614,0.011286744836337181,0.015528002286194775,-0.004948479986072507,-0.012034445440237684,-0.028503636580690883,-0.033333048915267005,0.009345997348662927,-0.004590130183861119,-0.015109177473983548,0.001632395344943749,0.0014840335668984128,-0.008583570365190196,-0.0035295999741882245,-0.008700181447949817,0.04071440939013282,-0.008626254987552984,0.0,0.03557985842429279,0.01706324868005571,0.019746090656503013,-0.026031661726992672,0.015983272477871235,-0.024123716783802318,-0.00853744912027754,-0.04194961261142294,-0.00727278339514148,-0.0018632853864372079,-0.010539287590086932,0.015346221473378607,-0.0006450574797768338,-0.03948667244028947,-0.018518646445138787,-0.02003638302972932,-0.0092554081629449,-0.0032008872651605458,-0.015041136225309115,-0.016279198350534263,-0.039102606244179605
2018-05-08,0.00447623879130199,0.0,-0.0037533986047013634,0.027228649681813488,0.0026232915312560667,-0.005198851809498972,0.020872488363946617,-0.018867799935193164,-0.004717340658156766,-0.05553948813385978,0.003218250119423116,-0.005082196084660651,0.008308275223128048,-0.01078973181176568,0.011220668990417293,0.0,7.214666894994615e-05,-0.012232509382888224,-0.0021937029516947426,0.008755369347566377,-0.0018337239506882597,-0.010610778068493198,0.0,-0.006916858918739943,-0.01796506367694628,0.0024452597332602632,0.003174174399395824,0.0,-0.007969320347520736,0.14599899553883544,0.008922485180097306,-0.013857401817737869,0.0,0.0,0.011479041324336858,-0.031120249205749517,0.015645432083308375,0.0054719606714368485,0.017380926074614722,-0.010555311870098616,0.01079233264268109,0.052503179306677916,0.0,0.013948806845019757,-0.010238752908945603,0.023240743422917154,0.01838262298425608,-0.008490426886851421,0.008364369105366753,-0.0010155522102013315,-0.038532076738875265,0.011691711653970982,-0.0035463630916779953,0.02701794058946061
2018-05-09,-0.023618500420833244,0.002237282141426933,0.0071163092304762365,0.042131796903132956,0.0013078443059078015,0.007991856793747809,0.005576203381937761,0.007692398446428328,0.0066351300548372905,0.0030789966102480193,0.013519796773585169,-0.005108903436213064,-0.037453337843939116,-0.010907552106048213,0.025710241293044778,0.027154728497175373,0.005418044682866219,-0.004643808163091734,-0.0046907862745765305,0.018867628955776983,0.06307436755268636,0.06434361021872914,-0.003703609724225898,-0.006965035083777993,-0.005138968124597687,0.0024391941510180093,0.003164902769824618,0.013468294199245223,-0.020232120695456546,0.014776036458616693,0.01360532042902074,0.008169655940643894,0.0,0.10024175837003413,0.08162379357761584,0.04211275760862332,0.014120565417605535,0.0,0.019362432366166304,0.0019649975928801577,-0.0018301890168856971,0.02088166152502402,0.008711802071133645,0.07178570450124644,-0.009852445311204328,-0.06182960458931164,0.0009842565982873808,-0.008373011182224666,0.02119815060832142,0.021549054377754118,0.016221418670763654,0.009669203811489613,0.004745026176764089,0.009093875047843536
2018-05-10,-0.005020509421106878,0.008928584589786626,0.025768502780960212,-0.03668001627044026,0.02482068725300768,0.02012843937102682,0.025877932680597793,-0.05216302842051579,0.00517885782910299,0.03529775331853613,0.0458964270175124,0.017971687894775545,0.023346330732580967,0.01985021679148602,-0.007915464294468877,0.03333335155853745,0.02232491242357071,0.001555097829856189,0.0014726749357230062,0.005926122690345759,0.028225794105386726,0.022670255771513048,0.011152422836843146,0.009685665387964226,-0.020041398866805893,0.03325155385536349,0.027339469568871566,0.009966309286983055,0.005162701130148939,-0.02778990552298166,0.01812096602401203,0.036790697166204644,0.0,0.05951546665651186,0.039144400447783445,-0.047808227333810405,0.0664559449615143,-0.007482973449408625,0.003351878974073852,0.03950659523685873,-0.060819210831346227,0.03636355668985636,0.006169197733588039,-0.019369783973935295,0.02437827851462604,-0.017485039236417865,0.036065687784715195,0.026674248545354162,0.004512519981602958,0.02288562498487101,0.0009389312796466154,-0.0007006482793016078,0.04781599766597133,-0.0022529415606832304
2018-05-11,0.0022935589785471056,0.0008848109440089402,-0.043760054405809656,-0.004725076441570719,-0.021670217267301672,-0.017937071884067346,0.007207606541742351,-0.03355690732718952,-0.005152175444962825,0.005632959366568269,-0.02053605839835093,-0.002521972163867181,-0.1520912800798111,-0.020328816284434725,0.03962752304102146,0.03225790521153815,-0.05421701453287109,-0.009316729388255784,-0.04264710340891642,-0.02245957665365228,-0.005602329670694295,-0.014778112619075245,0.014705795031954239,-0.016870461153069116,0.016234491685211294,-0.015698064256007283,-0.01596701998070882,-0.004699050740802457,-0.03262875847100055,-0.00776269277208963,-0.013183969711977328,-0.025793353681451747,0.0,0.0038145327756144987,-0.012038740818750782,-0.03179399512605785,0.032640750383206685,-0.0034268948731172033,-0.0352635159280994,-0.01590262419950539,-0.06020182096610971,-0.018420955846716214,-0.00367874504081922,0.025702052197449587,-0.009227550273876672,-0.032169564909749204,-0.03386066855732861,0.009719702514551676,-0.009883121179106058,0.023930036609982608,-0.005628466128036913,-0.0014022000435711668,0.002252893232344677,-0.09903226002540921
